ID,latitude,longitude,Date,farm type,Pop,Infection
"364",14.919739999999999,101.428759999999997,,dairy,"15","0"
"167",14.882400000000001,101.429100000000005,,dairy,"18","0"
"193",14.879370000000000,101.429710000000000,,dairy,"40","0"
"476",14.906079999999999,101.429749999999999,,dairy,"30","0"
"286",14.888100000000000,101.429969999999997,,dairy,"37","0"
"336",14.913420000000000,101.430549999999997,,dairy,"6","0"
"101",14.877240000000000,101.430760000000006,,dairy,"40","0"
"383",14.916100000000000,101.431010000000001,,dairy,"60","0"
"463",14.940899999999999,101.431020000000004,,dairy,"10","0"
"447",14.909240000000000,101.431039999999996,,dairy,"20","0"
"492",14.855910000000000,101.431259999999995,,dairy,"30","0"
"498",14.940960000000000,101.431280000000001,,dairy,"20","0"
"487",14.854290000000001,101.431590000000000,,dairy,"15","0"
"196",14.939710000000000,101.432169999999999,,dairy,"4","0"
